Company,Symbol,1980,1990,2000,2010,2020
Apple,AAPL,0.51,1.22,3.88,37.53,318.73
Google,GOOGL,,,,312.54,1518.73
Microsoft,MSFT,,1.03,53.31,28.21,185.38
